"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","TelsonLength","WetWeight","CorrSlope","WetWeightSlope"
"Trial01_KrilLR11",-0.0224676001306167,0.857038615695062,"KrilLR11             ","Trial01","12","CUR","A1",1,"2.61",35,-0.0172546688333197,-0.000492990538094849
"Trial01_KrilLR13",-0.01356723152378,0.683668343365233,"KrilLR13             ","Trial01","12","CUR","B2",3,"3.06",21,-0.00835430022648302,-0.000397823820308715
"Trial01_KrilLR14",-0.00870741642632551,0.571625694519697,"KrilLR14             ","Trial01","6","TMP","B4",4,"2.09",6,-0.00349448512902849,-0.000582414188171415
"Trial01_KrilLR15",-0.00609597471618151,0.22981497140852,"KrilLR15             ","Trial01","6","TMP","C1",5,"2.49",31,-0.000883043418884493,-2.84852715769191e-05
"Trial01_KrilLR16",-0.0174593984073541,0.777080902093138,"KrilLR16             ","Trial01","8","CHG","C3",6,"3.12",58,-0.0122464671100571,-0.000211145984656157
"Trial01_KrilLR17",-0.00998974850454392,0.347677148259755,"KrilLR17             ","Trial01","8","CHG","C5",7,"3.13",43,-0.0047768172072469,-0.000111088772261556
"Trial01_KrilLR18",-0.0215583342305458,0.778840799507509,"KrilLR18             ","Trial01","12","CUR","E1",8,"3.37",34,-0.0163454029332488,-0.000480747145095552
"Trial01_KrILR110",-0.00903347793115371,0.698720574462384,"KrILR110             ","Trial01","8","CHG","G1",10,"2.58",23,-0.00382054663385669,-0.00016611072321116
"Trial01_KriLR111",-0.00904953320455591,0.811575379077142,"KriLR111             ","Trial01","6","TMP","G3",11,"2.51",26,-0.00383660190725889,-0.00014756161181765
"Trial01_KriLR112",-0.0105744742731128,0.592247836086046,"KriLR112             ","Trial01","6","TMP","G5",12,"n/a",7,-0.00536154297581575,-0.000765934710830822
"Trial01_KriLR113",-0.0144566480727816,0.878134852170404,"KriLR113             ","Trial01","6","TMP","H2",13,"2.75",59,-0.00924371677548463,-0.00015667316568618
"Trial01_KriLR114",-0.015829526920201,0.622160777819735,"KriLR114             ","Trial01","12","CUR","H4",14,"2.85",3,-0.010616595622904,-0.00353886520763466
"Trial01_KriLR115",-0.0190936955060859,0.759624215268507,"KriLR115             ","Trial01","6","TMP","I1",15,"3.13",47,-0.0138807642087889,-0.000295335408697636
"Trial01_KriLR116",-0.0201370141569993,0.889056214779533,"KriLR116             ","Trial01","8","CHG","I3",16,"2.59",63,-0.0149240828597023,-0.000236890204122258
"Trial01_KriLR117",-0.00840059938867092,0.590323118426509,"KriLR117             ","Trial01","8","CHG","I5",17,"3.03",51,-0.0031876680913739,-6.25032959092922e-05
"Trial01_KriLR118",-0.0134797323225994,0.897809439124222,"KriLR118             ","Trial01","6","TMP","J2",18,"2.48",30,-0.00826680102530238,-0.000275560034176746
"Trial01_KriLR119",-0.0214395660259425,0.882748597826696,"KriLR119             ","Trial01","6","TMP","J4",19,"2.96",44,-0.0162266347286454,-0.00036878715292376
"Trial02_KriLR220",-0.0125895208333792,0.758543327278698,"KriLR220             ","Trial02","12","CUR","A1",1,"3.19",15,-0.00989889392451651,-0.000659926261634434
"Trial02_KriLR223",-0.012031826487541,0.338815987808624,"KriLR223             ","Trial02","2","CHG","B2",4,"3.08",11,-0.0093411995786783,-0.000849199961698027
