"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","TelsonLength","WetWeight","CorrSlope"
"Trial01_KrilLR11",-0.00807139674241543,0.0349067466905102,"KrilLR11             ","Trial01","12","CUR","A1",1,"2.61","0.0303",0.00110160441921519
"Trial01_KrilLR13",-0.00815202271020771,0.0395694602842946,"KrilLR13             ","Trial01","12","CUR","B2",3,"3.06","0.025",0.00102097845142292
"Trial01_KrilLR14",-0.0104186954746731,0.0658956072170073,"KrilLR14             ","Trial01","6","TMP","B4",4,"2.09","0.0193",-0.00124569431304243
"Trial01_KrilLR15",-0.00794345726284139,0.0419233475795722,"KrilLR15             ","Trial01","6","TMP","C1",5,"2.49","0.029",0.00122954389878923
"Trial01_KrilLR16",-0.0116687131496667,0.0974463321661562,"KrilLR16             ","Trial01","8","CHG","C3",6,"3.12","0.0437",-0.00249571198803607
"Trial01_KrilLR17",-0.0107501038299386,0.091194866572056,"KrilLR17             ","Trial01","8","CHG","C5",7,"3.13","0.0329",-0.00157710266830797
"Trial01_KrilLR18",-0.0113376527143903,0.109473911337905,"KrilLR18             ","Trial01","12","CUR","E1",8,"3.37","0.0299",-0.00216465155275972
"Trial01_KrILR110",-0.00942748865746819,0.0697174250369205,"KrILR110             ","Trial01","8","CHG","G1",10,"2.58","0.0255",-0.000254487495837563
"Trial01_KriLR111",-0.0163789654984535,0.197557209707065,"KriLR111             ","Trial01","6","TMP","G3",11,"2.51","0.0265",-0.00720596433682285
"Trial01_KriLR112",-0.0103542720687484,0.0807794093639482,"KriLR112             ","Trial01","6","TMP","G5",12,"n/a","0.0197",-0.00118127090711782
"Trial01_KriLR113",-0.0126638893285462,0.115274902157101,"KriLR113             ","Trial01","6","TMP","H2",13,"2.75","0.044",-0.00349088816691562
"Trial01_KriLR114",-0.0106738003805255,0.071717774479229,"KriLR114             ","Trial01","12","CUR","H4",14,"2.85","0.0169",-0.00150079921889488
"Trial01_KriLR115",-0.00354985832871304,0.00794973236936741,"KriLR115             ","Trial01","6","TMP","I1",15,"3.13","0.0349",0.00562314283291758
"Trial01_KriLR116",-0.00588464287234737,0.0224723396850993,"KriLR116             ","Trial01","8","CHG","I3",16,"2.59","0.051",0.00328835828928325
"Trial01_KriLR117",-0.00866681833445716,0.0440557544788481,"KriLR117             ","Trial01","8","CHG","I5",17,"3.03","0.0393",0.000506182827173464
"Trial01_KriLR118",-0.0135291061782738,0.0842550662192457,"KriLR118             ","Trial01","6","TMP","J2",18,"2.48","0.0275",-0.00435610501664318
"Trial01_KriLR119",-0.0045803667919437,0.0115667556751147,"KriLR119             ","Trial01","6","TMP","J4",19,"2.96","0.0334",0.00459263436968693
"Trial02_KriLR220",-0.00260396952928128,0.00498880458820196,"KriLR220             ","Trial02","12","CUR","A1",1,"3.19","0.0225",0.00196012065918693
"Trial02_KriLR223",-0.00722548627102674,0.0303055728803341,"KriLR223             ","Trial02","2","CHG","B2",4,"3.08","0.0215",-0.00266139608255853
"Trial02_KriLR226",-0.00908949180907769,0.0377226369122654,"KriLR226             ","Trial02","12","CUR","C5",7,"2.43","0.0227",-0.00452540162060948
"Trial02_KriLR227",-0.00302815780370009,0.00520118605300798,"KriLR227             ","Trial02","2","CHG","C5",8,"3.28","0.0373",0.00153593238476813
"Trial02_KriLR229",-0.00446431688610862,0.00875595247490052,"KriLR229             ","Trial02","2","CHG","E5",10,"2.92","0.0308",9.97733023595931e-05
"Trial02_KriLR232",-0.0157462183688093,0.0630589244680109,"KriLR232             ","Trial02","12","CUR","G5",13,"3.32","0.0465",-0.0111821281803411
"Trial02_KriLR233",-0.014677887965434,0.0706223814809921,"KriLR233             ","Trial02","2","CHG","H2",14,"3.36","0.0416",-0.0101137977769658
"Trial02_KriLR234",-0.00866867902853845,0.0401940473064479,"KriLR234             ","Trial02","12","CUR","I1",15,"2.65","0.0213",-0.00410458884007024
"Trial02_KriLR235",-0.0101560599147814,0.0531576234078783,"KriLR235             ","Trial02","2","CHG","I3",16,"3.12","0.0429",-0.00559196972631323
"Trial03_KRLr3_39",-0.00876520866023617,0.0327193108982708,"KRLr3_39             ","Trial03","1","TMP","A2",1,"2.48","0.026",-0.00381024708873231
"Trial03_KRLr3_40",-0.0190223410050774,0.195004008117818,"KRLr3_40             ","Trial03","1","TMP","A4",2,"3.16","0.0363",-0.0140673794335736
"Trial03_KRLr3_41",-0.0180954977295862,0.217053287943937,"KRLr3_41             ","Trial03","7","CUR","B1",3,"2.91","0.0252",-0.0131405361580823
"Trial03_KRLr3_42",-0.016667732827228,0.194515744131429,"KRLr3_42             ","Trial03","13","CHG","B3",4,"2.25","0.015",-0.0117127712557242
"Trial03_KRLr3_44",-0.00894333076948233,0.0363101570173066,"KRLr3_44             ","Trial03","1","TMP","C2",6,"2.79","0.0292",-0.00398836919797846
"Trial03_KRLr3_45",-0.00305967826474864,0.00573570368920557,"KRLr3_45             ","Trial03","1","TMP","C4",7,"2.64","0.0216",0.00189528330675522
"Trial03_KRLr3_46",-0.00760347928151223,0.0381918371022077,"KRLr3_46             ","Trial03","13","CHG","D1",8,"2.93","0.0261",-0.00264851771000837
