"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","TelsonLength","WetWeight","CorrSlope"
"Trial01_KrilLR11",-0.00956274278284355,0.148255951989275,"KrilLR11             ","Trial01","12","CUR","A1",1,"2.61","0.0303",0.00104930029548311
"Trial01_KrilLR13",-0.0113163498215418,0.207334631537913,"KrilLR13             ","Trial01","12","CUR","B2",3,"3.06","0.025",-0.000704306743215182
"Trial01_KrilLR14",-0.0104265361016099,0.189909638202884,"KrilLR14             ","Trial01","6","TMP","B4",4,"2.09","0.0193",0.000185506976716812
"Trial01_KrilLR15",-0.00807285361598632,0.128019420176155,"KrilLR15             ","Trial01","6","TMP","C1",5,"2.49","0.029",0.00253918946234035
"Trial01_KrilLR16",-0.00831108845577452,0.126231517471289,"KrilLR16             ","Trial01","8","CHG","C3",6,"3.12","0.0437",0.00230095462255214
"Trial01_KrilLR17",-0.00819104473529567,0.144774453234386,"KrilLR17             ","Trial01","8","CHG","C5",7,"3.13","0.0329",0.002420998343031
"Trial01_KrilLR18",-0.00978761704953154,0.188268880527946,"KrilLR18             ","Trial01","12","CUR","E1",8,"3.37","0.0299",0.000824426028795127
"Trial01_KrILR110",-0.00877349868590272,0.152260134346445,"KrILR110             ","Trial01","8","CHG","G1",10,"2.58","0.0255",0.00183854439242395
"Trial01_KriLR111",-0.00898463856989443,0.145102602703715,"KriLR111             ","Trial01","6","TMP","G3",11,"2.51","0.0265",0.00162740450843223
"Trial01_KriLR112",-0.0107024896999294,0.168916395101236,"KriLR112             ","Trial01","6","TMP","G5",12,"n/a","0.0197",-9.04466216027251e-05
"Trial01_KriLR113",-0.00982160712137755,0.151821718361619,"KriLR113             ","Trial01","6","TMP","H2",13,"2.75","0.044",0.000790435956949114
"Trial01_KriLR114",-0.00770622663003928,0.125251920681202,"KriLR114             ","Trial01","12","CUR","H4",14,"2.85","0.0169",0.00290581644828738
"Trial01_KriLR115",-0.00800582431907935,0.155921786584569,"KriLR115             ","Trial01","6","TMP","I1",15,"3.13","0.0349",0.00260621875924732
"Trial01_KriLR116",-0.00799564697527664,0.149405184632379,"KriLR116             ","Trial01","8","CHG","I3",16,"2.59","0.051",0.00261639610305003
"Trial01_KriLR117",-0.00783618502806567,0.129815948368595,"KriLR117             ","Trial01","8","CHG","I5",17,"3.03","0.0393",0.00277585805026099
"Trial01_KriLR118",-0.00556394158922319,0.0667228975325735,"KriLR118             ","Trial01","6","TMP","J2",18,"2.48","0.0275",0.00504810148910348
"Trial01_KriLR119",-0.0051104678547246,0.0599457915540147,"KriLR119             ","Trial01","6","TMP","J4",19,"2.96","0.0334",0.00550157522360206
"Trial02_KriLR220",-0.00369507617593443,0.0391004193602258,"KriLR220             ","Trial02","12","CUR","A1",1,"3.19","0.0225",0.000378041987446391
"Trial02_KriLR223",-0.00413432448835498,0.037495282682395,"KriLR223             ","Trial02","2","CHG","B2",4,"3.08","0.0215",-6.12063249741564e-05
"Trial02_KriLR226",-0.00226219337967369,0.012566414020322,"KriLR226             ","Trial02","12","CUR","C5",7,"2.43","0.0227",0.00181092478370713
"Trial02_KriLR227",-0.00478105718816318,0.0486304928405546,"KriLR227             ","Trial02","2","CHG","C5",8,"3.28","0.0373",-0.000707939024782355
"Trial02_KriLR229",-0.00497838172503184,0.056175721676707,"KriLR229             ","Trial02","2","CHG","E5",10,"2.92","0.0308",-0.000905263561651016
"Trial02_KriLR232",-0.00666325651225359,0.0908477015258455,"KriLR232             ","Trial02","12","CUR","G5",13,"3.32","0.0465",-0.00259013834887277
"Trial02_KriLR233",-0.0117615435184971,0.258517116855035,"KriLR233             ","Trial02","2","CHG","H2",14,"3.36","0.0416",-0.00768842535511623
"Trial02_KriLR234",-0.0116418990622452,0.252294835780292,"KriLR234             ","Trial02","12","CUR","I1",15,"2.65","0.0213",-0.00756878089886442
"Trial02_KriLR235",-0.0118272947457215,0.258607857639409,"KriLR235             ","Trial02","2","CHG","I3",16,"3.12","0.0429",-0.00775417658234065
"Trial03_KRLr3_39",-0.0133615210701419,0.288375529649466,"KRLr3_39             ","Trial03","1","TMP","A2",1,"2.48","0.026",-0.00307811082636751
"Trial03_KRLr3_40",-0.0132875911405875,0.302224474479509,"KRLr3_40             ","Trial03","1","TMP","A4",2,"3.16","0.0363",-0.00300418089681317
"Trial03_KRLr3_41",-0.00930867062318929,0.181260144328996,"KRLr3_41             ","Trial03","7","CUR","B1",3,"2.91","0.0252",0.000974739620585087
"Trial03_KRLr3_42",-0.0101050252043244,0.188643794128622,"KRLr3_42             ","Trial03","13","CHG","B3",4,"2.25","0.015",0.000178385039450024
"Trial03_KRLr3_44",-0.00965349780183839,0.213081516555577,"KRLr3_44             ","Trial03","1","TMP","C2",6,"2.79","0.0292",0.000629912441935986
"Trial03_KRLr3_45",-0.0093370904517236,0.186253672686367,"KRLr3_45             ","Trial03","1","TMP","C4",7,"2.64","0.0216",0.00094631979205078
"Trial03_KRLr3_46",-0.0103053781776255,0.231375769959648,"KRLr3_46             ","Trial03","13","CHG","D1",8,"2.93","0.0261",-2.19679338511018e-05
"Trial03_KRLr3_47",-0.00882703346036363,0.155591000749693,"KRLr3_47             ","Trial03","7","CUR","D5",9,"3.03","0.0396",0.00145637678341075
"Trial03_KRLr3_48",-0.0105777715177691,0.205238878759286,"KRLr3_48             ","Trial03","13","CHG","F1",10,"2.81","0.0317",-0.000294361273994674
"Trial03_KRLr3_49",-0.0120479877564107,0.242884711451344,"KRLr3_49             ","Trial03","1","TMP","G2",11,"2.95","0.0425",-0.00176457751263635
"Trial03_KRLr3_50",-0.0120741365351449,0.249173478803305,"KRLr3_50             ","Trial03","1","TMP","G4",12,"2.66","0.0538",-0.00179072629137055
"Trial03_KRLr3_51",-0.0108835232346283,0.203949730184641,"KRLr3_51             ","Trial03","7","CUR","H1",13,"2.94","0.0305",-0.000600112990853951
"Trial03_KRLr3_53",-0.0113549151491202,0.200578942371363,"KRLr3_53             ","Trial03","13","CHG","H5",15,"2.75","0.021",-0.00107150490534583
"Trial03_KRLr3_54",-0.0128835462221299,0.245140492732314,"KRLr3_54             ","Trial03","1","TMP","I4",16,"2.61","0.0222",-0.0026001359783555
"Trial03_KRLr3_55",-0.0140874116356399,0.261150399358761,"KRLr3_55             ","Trial03","1","TMP","J1",17,"3.24","0.0405",-0.0038040013918655
"Trial03_KRLr3_56",-0.0122660331526589,0.222324867780317,"KRLr3_56             ","Trial03","13","CHG","J3",18,"2","0.0202",-0.00198262290888448
"Trial03_KRLr3_57",-0.0122635547500772,0.198031547035644,"KRLr3_57             ","Trial03","7","CUR","J5",19,"3.16","0.045",-0.00198014450630281
"Trial04_KRLr4_58",-0.00997949210051433,0.141637933838822,"KRLr4_58             ","Trial04","10","CUR","A2",1,"2.59","0.0248",-2.57065552413133e-05
"Trial04_KRLr4_62",-0.0116171599841612,0.191529830445499,"KRLr4_62             ","Trial04","10","CUR","C2",5,"2.5","0.0174",-0.00166337443888819
"Trial04_KRLr4_65",-0.0113971534799456,0.18806799852682,"KRLr4_65             ","Trial04","5","CUR","D5",8,"2.83","0.032",-0.00144336793467256
"Trial04_KRLr4_67",-0.0113241521381346,0.155548296767607,"KRLr4_67             ","Trial04","10","CUR","F5",10,"3.29","0.0602",-0.00137036659286158
"Trial04_KRLr4_70",-0.00955979295320845,0.167143566860074,"KRLr4_70             ","Trial04","10","CHG","H1",13,"3.02","0.0315",0.000393992592064569
"Trial04_KRLr4_71",-0.00907008420043193,0.147780794620116,"KRLr4_71             ","Trial04","5","CUR","H3",14,"2.41","0.0179",0.000883701344841089
"Trial04_KRLr4_75",-0.0100983955736833,0.1687730377651,"KRLr4_75             ","Trial04","10","CUR","J1",18,"2.62","0.0271",-0.000144610028410312
"Trial04_KRLr4_76",-0.00798125986573599,0.101054885162099,"KRLr4_76             ","Trial04","10","CUR","J3",19,"2.64","0.0246",0.00197252567953702
